label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
зайти фотоальбом прилагать ошибка выдавать;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;1;29
закрытие доступ увольнение закрыть автоматически;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
закрытие отделение аппарат доступ закрыть;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;3
закрытие отделение доступ массовый закрыть;;;;;;;;;;;;40;;;;;;;;;;;;18;11;18;17;4;4;;9;6;9;127
закрытие отделение закрыть увольнение доступ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;1;9
закрытие управление аппарат доступ отделение;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;1;20
заёмщик сумма вычет обязательство доход;;;;;;;;;;;;;;;8;;5;;;;;;;;;;;;;;;;2;13
значение локально прогон помочь происходить;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;;;;1;61
зрвсп дополнить заместитель кредитный руководитель;;;;;;;;;;;;;14;21;5;;;;;;;;;;;;;;4;;14;11;6;69
зрвсп заместитель дополнить модель ролевой;;;;;;;;;;;;;;;;;28;13;31;13;14;4;;;;;;;;;;;6;103
зрвсп отделение заместитель кредитный дополнить;;;;;;;;;;;;;;;;;;;;;;;;23;9;10;13;12;;;;;5;67
ипотечного кредитование партнёр центр работа;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;2;4
ипотечного партнёр кредитование работа аппарат;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2
карта завести отказ кредитный кредит;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;1;24
карта завести продукт кредитный отказ;;;;;;;;;;;;;;;9;1;;;22;;;;;;;;;;;;;;3;32
карта продукт кредитный отказ счёт;;;;;;;;;;;;;;17;;;18;;;;;;;;;;;11;;;;;3;46
карта продукт невозможно кредитный отказ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;5;2;15
карта счёт номер отказ кредит;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
карта счёт отказ кредит кредитный;;;;;;;;;;;;;;;;;;;;12;4;3;;10;10;;8;;2;;;;7;49
карта счёт отказ статус кредит;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;1;9
качество операционного продажа сектор поддержка;;6;;;;;;;;;;;;1;1;;;6;5;;;;;;3;;;;;;;;5;16
качество операционного сектор поддержка увольнение;1;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;2;4
ки возврат вернуть статус сделка;;;;;;;;;;;;19;;;;;;4;;;;;;;;;;;;;;;2;23
кредит ЕКП сумма отсутствовать ошибка;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1;4
кредит УКО сбол отказ подавать;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;1;24
кредит банковский договор универсальный статус;;;;;;;;;;;;15;6;;;;;;;;;7;;;;;;6;;;;;4;34
кредит выдача сбол транзакт статус;;;2;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;1;15
кредит договор статус выдать банковский;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;11
кредит договор статус сбол обслуживание;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;3
кредит кредитный доступ статус ошибка;;;;;;;;;;;;423;;;;;;;;;;;;;;;;;;;;;1;423
кредит предложение сумма одобрить отказ;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;7;;;;2;31
кредит проблема кредитный статус ошибка;;;;;;;129;59;;;;;;;;;;;;;;61;;;;;;;;;;;3;249
кредит проблема обработка кредитный ошибка;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;1;16
кредит программа кредитный статус ошибка;;;;;;;;;;;;;;;;;;;;412;;;;;;;;;;;;;1;412
кредит работа отказ статус ошибка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;;1;245
кредит сбол договор проблема статус;;;;2;;2;;;;;;;;9;14;;;;;;;;;;;;;;;;6;;5;33
кредит сбол онлайн подать статус;11;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
кредит сбол статус банковский договор;;;;;;;;;;;;;;;;4;16;;;;;;;9;8;9;6;;;;;;6;52
кредит сбол статус выдача проблема;;;;;;;;;;;;;;;;;;18;;;13;;;;;;;;;;;;2;31
кредит статус сбол договор выдача;;;;;;;;;;;;;;;;;;;10;13;;;2;;;;;;;;;;3;25
кредит сумма одобрить список выдача;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;1;4
кредит сумма отказ программа ошибка;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;;;;1;69
кредит сумма отсутствовать отказ ошибка;;;;;;;;;;;;;;;;;32;;;14;;;;;;;;;;;;;2;46
кредит сумма сбол подать статус;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;1;41
кредит сумма срок список одобрить;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;1;23
кредитного досье договор формирование статус;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;3
кредитный МП отделение модель головной;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;4;2;28;;4;45
кредитный отделение модель ролевой распоряжение;7;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2
кредитование жилищный ипотечного специалист ЦИК;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;1;6
кредитование жилищный специалист привязка роль;;;;;;;;;;;;19;;;;;32;38;5;15;16;2;;;;19;19;15;;;14;13;12;207
кредитование ипотечного жилищный партнёр специалист;;7;;;;;;;;;;;;;;;;;;15;6;2;;14;24;10;;;;;;;6;71
кредитование ипотечного партнёр центр аппарат;;;;;;;;;;;;;26;10;6;;3;;4;;;;;;;;18;;;;;7;7;74
кредитование линия ведение удалённому линии;;;;;;;;;;;;;;;;;;;;;;;;;;2;6;1;;;;;3;9
кредитование открытие доступ специалист аппарат;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
лефортовский рг московский физический лицо;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;9
линия кредитование удалённому ведение запуск;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;3
логин АС транзакт доступ проблема;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;1;6
логин войти АС доступ ошибка;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;1;9
логин пароль программа вход доступ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;1;10
логин срм АС доступ проблема;;;;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;2;8
максимальный рассчитать подтвердить стратегия обязательство;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;1;5
малого продажа малому бизнес организация;;;;;;;;;;;;;;4;;;1;4;;;;;;;;;7;;1;;;3;6;20
маршрут проблема иметься решение помочь;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;1;6
маршрут проблема участник сделка решение;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;1;5
маршрут проставить помочь решение проблема;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
маршрут проставить участник сделка проблема;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;1;3
маршрут решение проблема помочь ошибка;5;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;1;8
маршрут сформировать проблема решение помочь;11;;5;;;;;;;;;;;;;;16;16;8;;2;2;;17;;;;;;;;;6;61
маршрут сформировать проставить контрагент проблема;;;;;;;;;;;;;;;;;;;;;;;;;;6;11;5;;;9;5;5;36
мб кредитный МП рг московский;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;1;16
мб рг кредитный московский модель;;;;;;;;;;;;;;;;;;;;;;;;6;6;11;;3;4;;;;5;30
мб рг ролевой модель московский;;;;;;;;;;;;;;;;;11;5;5;3;10;1;;;;;;;;;;;6;35
модуль принятие решение ошибка обработка;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;1;5
московский рг лицо специализированный обслуживание;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;4;2;8
московский увольнение рг закрытие закрыть;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;4;;2;14
мск МЦА мультипликатор стратегия являться;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;1;6
мультипликатор ст МЦТП жк контролёр;;;;;;;;;;;;;;;;;;;;;;13;;;1;;;;;;;;2;14
мультипликатор стратегия являться мск вычет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;9
мультипликатор сумма являться стратегия доход;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;6;;;;;3;20
мультипликатор являться стратегия доход подтвердить;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;1;11
номер требоваться нужный сжк роль;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;1;12
нулевой пб заранее платёжеспособности ситуация;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;1;4
нулевой пб технической платёжеспособности ситуация;;;;;;;;;;;;;;;;;;;;3;2;;;1;;;;;;;;;3;6
нулевой платёжеспособности ситуация заранее вычет;;;;;;;;;;;;6;3;4;;;4;;;;;;;;;;;;;;;;4;17
ободрение присвоиться совесткий айназа девушка;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;1;90
обработка доступ кредитный кредит ошибка;;;;;;;;;;;;;;;;;;328;;;;;;;;;;;;;;;1;328
обработка отправить вложение скрин ошибка;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
обработка уходить отправить а0 ошибка;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;1;19
обязанность должностных кредитование аппарат открытие;;;;;;;;;;;;;;;;;;;;6;;;;2;;;;;;;;;2;8
операционного качество отделение продажа сети;;;;1;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;2;32
описать служебный щербинка цоппиик timeout`;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
опровергнуть подтвердить наличие мск мультипликатор;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
от16 ноябрь контроллер просмотр доступ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
отбираться очереди длительный закрепить сц4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
отделение МП головной модель ролевой;;;;;;;;;;;;;;;;;13;14;8;;;;;;;;;7;2;;27;;6;71
отделение МП кредитный ролевой модель;16;1;1;4;;;;;;;;;;;;;;;;;;;;87;69;64;;;;;;6;5;230
отделение воронежской область головной закрытие;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;2
отделение воронежской сети центрально-чернозёмный закрытие;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5
отделение головной закрытие доступ закрыть;;;;;;;;;;;;;;;;;1;;;;;;;;;;;5;;;10;2;4;18
отделение доступ закрытие филиал право;;;;;;;5;3;;;;;;;;;;;18;;;;;;;;;;;;;;3;26
отделение доступ закрыть увольнение основание;;;;;;;;;;;;;;;;;;;;;;;;;;16;;17;22;1;13;;5;69
отделение доступ мп_451_р увольнение утверждение;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;2
отделение доступ основание закрыть закрытие;;;;;;;;;;;;;;;;;;;;7;9;16;;8;15;;21;;;;;;6;76
отделение доступ увольнение мп_451_р закрыть;5;7;;;;;;;;;;;;;11;;;15;;;;;;;;;;;;;;21;3;47
отделение закрытие доступ закрыть массовый;16;23;2;2;1;;;;;;;;74;30;9;3;10;38;15;8;15;17;;;;;;;;;;;12;222
отделение закрытие обслуживание физический лицо;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;;9;10;4;27
отделение закрытие управление аппарат продажа;;;;;;;;;;;;;;;;;;;;;2;6;;;;;;;;;;;2;8
отделение кредитный головной МП модель;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;1;22
отделение кредитный модель цпо персонального;;;;;;;;;;;;;;;;;;;;;;;;16;;9;;7;;;;;3;32
отделение право ролевой модель распоряжение;;;;;;;;;1;;;;;;;;;;13;15;;;;;;;;;;;;;3;29
